,H-Ag,H-Const,H-Manu,H-Serv,H-Gov,O-Ag,O-Const,O-Manu,O-Serv,O-Gov,K-Ag,K-Const,K-Manu,K-Serv,K-Gov,M-Ag,M-Const,M-Manu,M-Serv,M-Gov
H-Ag,15.030454,0.415519076,1.360963578,0.652154195,0.456360128,0.107883137,0.008540754,0.671142283,0.037750429,0.008442057,0.039090405,0.007012846,0.201368126,0.026627003,0.009774538,0.076700295,0.007928984,0.32436786,0.023661134,0.007766413
H-Const,0.391618888,0.368719839,0.87814393,1.515050291,1.493728856,0.010881718,0.010083564,0.488046791,0.07199337,0.008923985,-0.20604404,-0.053050346,0.042045335,0.060627973,-0.016730908,0.027145866,-0.013983813,0.323792647,0.040282381,-0.005279666
H-Manu,7.756985116,0.393181946,3.454922234,0.812837212,0.250212417,0.750089022,0.009355932,0.460086795,0.036082385,0.007407914,0.442115534,0.049260932,0.42304447,0.045952555,0.037237899,0.29632223,0.026757817,0.34520234,0.036180715,0.021211058
H-Serv,4.285645655,11.99340462,13.27949176,18.24087323,10.352529,1.093910794,0.135636324,5.128412494,0.719596906,0.103820319,1.123022807,0.247999934,6.682341346,0.839581214,0.32408597,1.076418685,0.204926893,4.156132609,0.604328822,0.192448376
H-Gov,0.595561688,4.362112842,1.118928781,2.152097218,1.013483785,0.177149267,0.031595462,0.517537086,0.092921078,0.013428107,0.301206434,0.094110249,0.517519534,0.113730593,0.075554447,0.132367113,0.052137381,0.337266106,0.084354738,0.041910147
O-Ag,0.08392881,-0.013042591,0.132513913,0.007348772,-0.006353747,4.727134709,0.040312185,0.244219877,0.048244073,0.018179737,0.005731589,-0.032459178,-0.089113943,0.009962775,-0.016070043,0.111498803,-0.01055769,0.020045406,0.009405252,-0.006148347
O-Const,1.072652514,0.081299787,2.979366824,0.584263279,0.068439144,2.412978358,0.542901512,5.413116198,2.527652461,0.427738517,0.23459231,0.101894659,1.175067626,0.435642747,0.145828701,0.493363518,0.11386954,1.937886174,0.372901487,0.109333549
O-Manu,14.14849158,0.111441019,6.422704708,0.519733155,0.109193614,12.67196992,0.72102481,6.624587299,2.195017148,0.948770692,1.014441551,0.105992022,2.921056021,0.572862456,0.180833957,1.936553821,0.158119025,3.446097549,0.536452066,0.154608524
O-Serv,9.425235506,0.566467829,27.43279995,3.592945899,0.461219409,20.48091399,15.76852799,29.19991774,23.09335377,9.161459127,3.652899102,1.294844142,19.38161555,5.168661768,1.795365834,5.314067883,1.297042365,19.58539093,4.158520312,1.233458288
O-Gov,0.239826935,0.023803175,0.799579784,0.172654588,0.019948559,0.826109359,1.640570791,1.006867804,0.947329995,0.366027177,0.147654318,0.064282065,0.935864525,0.273278381,0.092359495,0.212342961,0.065727429,0.852307724,0.217416264,0.062806795
K-Ag,0.100100009,0.03068494,0.120238859,0.006805271,0.016538972,0.136230834,0.007033689,0.17180476,0.018563133,0.00423869,3.736269252,1.125390726,1.499742683,0.563721692,0.680641583,0.107761793,0.031910128,0.116831122,0.009943495,0.022033259
K-Const,0.08667882,0.016486001,0.166125371,0.012252234,0.009300343,0.09885339,0.009870617,0.283107475,0.045323665,0.006813524,0.34576434,0.501499292,0.629091877,0.91333071,0.613986618,0.068696507,0.020225468,0.126705131,0.0201218,0.015205693
K-Manu,0.166935289,0.026926932,1.399760048,0.035876005,0.015832602,1.950980376,0.005471711,0.107822908,0.014279678,0.003138582,12.73205004,0.317796074,4.218338009,0.452708488,0.600338579,2.371203584,0.039647986,0.105911973,0.021988833,0.027841218
K-Serv,0.82950127,0.099614912,4.1888972,0.396773312,0.069815918,1.405107392,0.079468927,2.250002431,0.421716475,0.056468566,6.489913523,22.68918258,32.44174427,17.04394017,32.30061449,1.407074178,0.184179657,1.249561198,0.46976199,0.162262614
K-Gov,0.001533668,-0.006215237,0.121418392,0.05319283,-0.001090676,0.000894277,0.003121171,0.126952848,0.026577719,0.00276994,0.128985923,4.871347756,0.524719864,1.533362686,2.33578905,0.006817324,-0.003413531,0.037659913,0.030754495,0.000366128
M-Ag,0.085335505,0.018065368,0.223654013,0.012259975,0.010121271,0.085766052,0.00568712,0.200971885,0.019505124,0.003949351,0.155464221,0.042558793,0.158399065,0.015278233,0.026740563,11.85299514,0.769664293,0.388959416,0.375787433,0.52690359
M-Const,0.129688033,0.009082494,0.442929968,0.063578188,0.007592214,0.115297408,0.014285943,0.601062234,0.076690551,0.011383752,0.044274962,0.014383091,0.224713629,0.062216879,0.02092431,0.521817006,0.544356257,0.718123873,1.024459745,0.480345537
M-Manu,0.829863072,-0.003268143,0.270128876,0.037257307,0.001555479,2.124588624,0.005223682,0.274576186,0.030642737,0.004585681,0.852711304,-0.010687204,0.304672309,0.035150491,0.001732424,18.25555957,0.358625778,1.242403041,0.4984347,0.459414329
M-Serv,1.804580638,0.111516119,5.537956947,0.873520944,0.097443994,2.153494788,0.148410523,5.276743147,0.826967588,0.113286413,1.387804784,0.248611223,7.100262274,1.166272468,0.390395351,11.09558706,29.10348481,23.06562192,19.24058181,27.47589611
M-Gov,0.081401904,0.020260191,0.211525661,0.045756541,0.012624816,0.085323379,0.007557356,0.181832607,0.033234278,0.004956183,0.148781876,0.050073699,0.199651454,0.067442196,0.041318075,0.385687742,3.554564091,0.386488768,0.862266879,1.221874708
