,H1Agriculture,H2Mining and construction,H3Food processing,H4Other manufacturing,H5Transportation,H6Information,H7Utilities,H8Wholesale trade,H9Retail trade,H10Finance and insurance,H11Real estate and rentals,H12Professional services,H13Business services,H14Educational services,H15Health services,H16Arts and entertainment,H17Hotels ,H18Eating and drinking,H19Other services,H20Government,O1Agriculture,O2Mining and construction,O3Food processing,O4Other manufacturing,O5Transportation,O6Information,O7Utilities,O8Wholesale trade,O9Retail trade,O10Finance and insurance,O11Real estate and rentals,O12Professional services,O13Business services,O14Educational services,O15Health services,O16Arts and entertainment,O17Hotels ,O18Eating and drinking,O19Other services,O20Government,K1Agriculture,K2Mining and construction,K3Food processing,K4Other manufacturing,K5Transportation,K6Information,K7Utilities,K8Wholesale trade,K9Retail trade,K10Finance and insurance,K11Real estate and rentals,K12Professional services,K13Business services,K14Educational services,K15Health services,K16Arts and entertainment,K17Hotels ,K18Eating and drinking,K19Other services,K20Government,M1Agriculture,M2Mining and construction,M3Food processing,M4Other manufacturing,M5Transportation,M6Information,M7Utilities,M8Wholesale trade,M9Retail trade,M10Finance and insurance,M11Real estate and rentals,M12Professional services,M13Business services,M14Educational services,M15Health services,M16Arts and entertainment,M17Hotels ,M18Eating and drinking,M19Other services,M20government enterprises
H1Agriculture,15.085,0.813,0.358,0.917,1.527,0.354,1.799,2.018,0.501,0.504,5.667,0.555,0.85,0.055,0.025,0.01,0.189,0.083,2.901,1.699,0.113,0.159,3.669,16.373,1.346,0.222,0.566,2.312,0.445,0.987,0.737,0.659,1.068,0.059,-0.003,0.002,0.081,0.312,0.179,0.456,0.006,0.012,0.022,0.033,0.018,0.019,0.011,0.118,0.01,0.007,0.007,0.058,0.022,0.004,0.007,0.002,0.09,0.011,0.005,0.021,0.054,0.01,0.083,0.2,0.122,0.013,0.012,0.237,0.013,0.015,0.022,0.036,0.069,0.001,0,0,0.247,0.025,0.029,0.028
H2Mining and construction,0.157,0.333,0.023,0.381,0.782,0.557,1.143,1.663,3.771,0.47,4.228,5.196,1.038,0.086,0.031,0.009,0.257,0.232,1.213,2.899,0.02,0.08,0.144,6.801,0.723,0.18,0.272,2.377,0.549,0.569,0.608,1.651,0.727,0.056,-0.001,0.004,0.098,0.341,0.104,0.254,0.002,0.01,0.01,0.024,0.009,0.02,0.011,0.102,0.008,0.008,0.016,0.162,0.029,0.002,0.003,0.002,0.112,0.02,0.01,0.02,0.008,0.014,0.006,0.152,0.061,0.016,0.016,0.187,0.013,0.01,0.023,0.07,0.074,0.001,0,0,0.29,0.029,0.026,0.024
H3Food processing,17.768,1.372,3.098,0.78,1.594,0.802,4.947,3.035,1.048,0.844,5.815,2.142,6.025,0.302,0.047,0.022,0.633,0.675,3.095,1.254,1.255,0.193,4.243,9.94,1.155,0.253,0.549,2.95,0.726,0.749,0.902,1.327,1.753,0.077,-0.007,0.011,0.257,0.912,0.178,0.429,0.202,0.036,0.189,0.021,0.014,0.039,0.036,0.185,0.025,0.019,0.04,0.144,0.12,0.008,0.015,0.005,0.266,0.049,0.021,0.056,0.697,0.035,0.35,0.126,0.127,0.029,0.04,0.367,0.026,0.033,0.075,0.079,0.229,0.002,0,0.001,0.737,0.079,0.066,0.06
H4Other manufacturing,1.368,0.416,2.569,0.675,1.778,0.841,2.197,1.826,1.123,0.563,3.375,1.597,2.306,0.24,0.05,0.018,0.37,0.289,2.297,0.809,0.156,0.167,4.514,12.675,1.382,0.233,0.527,1.321,0.609,0.596,0.695,0.984,1.297,0.092,-0.006,0.003,0.155,0.507,0.156,0.405,0.013,0.021,0.037,0.024,0.017,0.032,0.018,0.103,0.017,0.009,0.009,0.099,0.038,0.006,0.013,0.003,0.161,0.019,0.006,0.032,0.056,0.014,0.027,0.15,0.127,0.021,0.016,0.223,0.011,0.022,0.029,0.05,0.096,0.001,0,0,0.448,0.044,0.035,0.032
H5Transportation,0.066,1.577,0.054,0.505,2.501,0.67,0.592,0.966,0.338,0.622,3.273,1.295,3.286,0.596,0.489,0.014,0.184,0.497,2.192,4.988,0.04,0.126,0.379,13.484,2.288,0.222,0.44,1.54,0.282,0.834,0.681,1.099,1.514,0.149,-0.003,-0.001,0.075,0.666,0.146,0.433,0.004,0.011,0.022,0.035,0.027,0.022,0.01,0.058,0.009,0.006,0.01,0.085,0.061,0.003,0.006,0.002,0.081,0.033,0.007,0.021,0.015,0.012,0.012,0.225,0.164,0.016,0.013,0.124,0.013,0.012,0.022,0.043,0.11,0.001,0,0,0.219,0.052,0.026,0.029
H6Information,0.081,0.511,0.09,0.17,0.48,5.398,2.194,0.661,1.593,1.353,3.517,2.521,1.23,1.689,4.986,0.888,0.412,0.599,2.634,2.043,0.038,0.092,0.472,4.09,0.784,0.598,0.232,0.712,0.463,1.009,0.582,1.959,0.793,0.221,-0.005,-0.009,0.162,0.586,0.087,0.218,0.005,0.019,0.031,0.005,0.004,0.092,0.017,0.033,0.016,0.009,0.013,0.15,0.031,0.006,0.019,0.005,0.162,0.029,0.007,0.029,0.019,0.012,0.016,0.041,0.05,0.05,0.014,0.092,0.007,0.019,0.025,0.066,0.073,0.001,0.004,0.006,0.453,0.053,0.027,0.023
H7Utilities,0.042,2.603,0.051,1.265,0.954,0.193,0.317,0.271,0.608,0.554,0.813,1.082,0.864,0.999,0.014,0.006,0.455,0.151,0.278,0.528,0.063,0.148,0.198,35.51,0.655,0.248,0.779,1.367,0.502,0.64,0.821,0.959,1.159,0.236,-0.002,0.001,0.174,0.413,0.235,0.581,0.002,0.012,0.014,0.081,0.004,0.015,0.014,0.024,0.007,0.008,0.012,0.065,0.025,0.002,0.004,0.003,0.203,0.015,0.007,0.019,0.015,0.024,0.009,0.527,0.066,0.018,0.028,0.071,0.022,0.014,0.033,0.044,0.099,0.001,0,0,0.526,0.03,0.039,0.034
H8Wholesale trade,0.09,0.427,0.053,0.389,0.534,2.389,2.623,1.335,0.855,1.155,4.314,2.166,4.295,0.114,0.121,0.031,0.566,0.445,3.016,1.21,0.032,0.095,0.396,6.108,0.542,0.307,0.273,1.832,0.436,0.838,0.62,1.645,1.532,0.2,-0.003,-0.006,0.215,0.566,0.106,0.248,0.004,0.017,0.023,0.015,0.005,0.043,0.018,0.08,0.012,0.01,0.019,0.126,0.078,0.004,0.007,0.004,0.23,0.031,0.011,0.028,0.014,0.025,0.01,0.089,0.055,0.032,0.028,0.162,0.015,0.018,0.038,0.069,0.161,0.001,0,0.001,0.627,0.05,0.038,0.035
H9Retail trade,0.037,0.47,0.021,0.204,0.33,1.033,3.216,0.232,0.871,0.865,8.405,1.306,1.809,0.081,0.053,0.013,0.356,0.227,1.266,1.256,0.015,0.05,0.148,4.617,0.298,0.166,0.166,0.399,0.308,0.486,0.338,0.979,0.875,0.095,-0.001,-0.001,0.115,0.287,0.059,0.138,0.002,0.008,0.009,0.009,0.004,0.02,0.009,0.016,0.005,0.005,0.011,0.07,0.048,0.001,0.002,0.002,0.125,0.017,0.006,0.013,0.007,0.014,0.006,0.064,0.03,0.017,0.016,0.036,0.008,0.008,0.02,0.036,0.092,0.001,0,0,0.334,0.025,0.019,0.019
H10Finance and insurance,0.038,0.389,0.014,0.128,0.334,1.425,1.292,0.147,0.262,5.228,3.87,3.334,1.932,0.884,0.073,0.024,1.53,0.368,1.772,1.046,0.024,0.105,0.101,1.962,0.45,0.383,0.181,0.378,0.167,5.118,0.781,1.965,0.791,0.137,-0.005,-0.009,0.182,0.455,0.125,0.263,0.003,0.018,0.021,0.004,0.004,0.036,0.016,0.003,0.013,0.011,0.01,0.138,0.026,0.005,0.01,0.003,0.191,0.02,0.006,0.026,0.012,0.015,0.007,0.03,0.04,0.022,0.016,0.036,0.005,0.021,0.025,0.067,0.071,0.001,0,0.001,0.526,0.038,0.025,0.022
H11Real estate and rentals,0.052,0.269,0.002,0.028,0.068,0.095,0.233,0.063,0.152,0.291,0.956,0.31,0.288,0.029,0.005,0.003,0.114,0.035,1.288,0.263,0.003,0.01,0.025,0.369,0.086,0.024,0.023,0.086,0.047,0.268,0.066,0.155,0.111,0.007,-0.001,-0.001,0.026,0.041,0.01,0.026,0,0.002,0.003,0.001,0.001,0.004,0.002,0.002,0.002,0.001,0.001,0.015,0.005,0.001,0.001,0,0.025,0.002,0.001,0.003,0.002,0.002,0.001,0.009,0.006,0.002,0.002,0.01,0.001,0.003,0.003,0.007,0.011,0,0,0,0.071,0.004,0.004,0.003
H12Professional services,0.118,0.808,0.044,0.475,1.514,2.292,3.319,0.979,2.142,1.382,9.229,8.538,2.823,0.91,0.121,0.033,1.592,0.701,3.543,3.785,0.034,0.153,0.632,5.089,2.103,0.426,0.365,2.071,0.74,1.037,1.024,4.17,1.241,0.2,-0.002,-0.003,0.596,0.861,0.148,0.395,0.004,0.03,0.022,0.018,0.021,0.054,0.037,0.069,0.014,0.022,0.048,0.322,0.073,0.003,0.005,0.008,0.644,0.054,0.026,0.053,0.017,0.075,0.016,0.115,0.129,0.059,0.078,0.139,0.03,0.029,0.089,0.16,0.246,0.003,0,0.001,1.708,0.078,0.079,0.084
H13Business services,0.13,0.59,0.028,0.411,0.788,1.923,2.69,0.663,1.66,0.935,5.122,7.154,3.429,0.4,0.099,0.027,0.532,0.43,3.564,2.079,0.025,0.094,0.174,5.218,1.063,0.334,0.261,1.408,0.585,0.789,0.713,2.898,1.335,0.103,-0.003,-0.004,0.203,0.544,0.106,0.268,0.003,0.016,0.017,0.014,0.011,0.039,0.018,0.042,0.012,0.011,0.021,0.207,0.067,0.003,0.006,0.004,0.22,0.03,0.012,0.029,0.012,0.024,0.009,0.094,0.071,0.031,0.026,0.091,0.014,0.016,0.036,0.092,0.138,0.001,0,0.001,0.586,0.048,0.034,0.034
H14Educational services,0.069,2.557,0.026,0.325,0.44,2.261,1.818,0.413,0.349,0.502,6.54,1.284,3.227,1.398,0.115,0.124,0.27,0.702,1.349,0.654,0.048,0.088,0.15,4.778,0.722,0.293,0.224,0.921,0.224,0.451,0.434,1.068,0.935,0.297,-0.01,-0.019,0.129,0.814,0.072,0.201,0.006,0.026,0.043,0.014,-0.006,0.05,0.019,0.006,0.024,0.006,-0.001,0.119,0.028,0.01,0.021,0.003,0.103,0.038,-0.001,0.033,0.024,-0.002,0.013,0.066,0.05,0.014,-0.001,0.076,-0.002,0.027,0.014,0.052,0.039,0.001,0,0.001,0.339,0.07,0.021,0.012
H15Health services,0.305,0.762,0.447,0.412,0.648,1.254,5.136,0.989,0.86,0.682,7.054,3.511,2.572,0.588,4.055,0.051,2.122,1.105,2.469,2.074,0.056,0.114,1.276,5.567,0.923,0.276,0.316,1.262,0.425,0.808,0.667,1.963,1.397,0.127,-0.001,-0.001,0.291,0.914,0.117,0.27,0.018,0.018,0.115,0.016,0.011,0.033,0.026,0.07,0.01,0.014,0.041,0.15,0.088,0.002,0.157,0.005,0.322,0.058,0.021,0.039,0.062,0.041,0.11,0.103,0.064,0.036,0.046,0.13,0.023,0.017,0.059,0.081,0.191,0.002,0.085,0.001,0.845,0.078,0.05,0.052
H16Arts and entertainment,0.101,0.284,0.019,0.085,0.134,0.407,1.637,0.132,0.133,0.228,1.449,0.749,1.018,0.027,0.021,1.015,0.084,0.204,0.94,0.812,0.031,0.043,0.228,1.33,0.258,0.067,0.093,0.308,0.101,0.202,0.19,0.548,0.309,0.224,-0.007,-0.013,0.049,0.262,0.023,0.074,0.004,0.016,0.025,0.002,-0.005,0.017,0.01,-0.008,0.016,0.002,-0.006,0.072,0.001,0.007,0.014,0.001,0.027,0.011,-0.003,0.019,0.014,-0.008,0.005,0.021,0.021,-0.002,-0.007,0.03,-0.005,0.017,0.002,0.028,-0.006,0,0,0.014,0.122,0.025,0.007,0.002
H17Hotels ,0.079,2.835,0.075,0.209,0.604,1.779,6.049,0.837,0.717,1.636,7.172,4.144,7.514,0.175,0.091,0.188,0.459,0.457,3.267,2.183,0.029,0.089,0.702,4.028,0.869,0.319,0.242,1.036,0.287,1.001,0.6,1.968,2.218,0.093,-0.001,-0.001,0.169,0.558,0.098,0.236,0.004,0.012,0.024,0.01,0.009,0.037,0.015,0.056,0.008,0.01,0.023,0.146,0.128,0.001,0.003,0.004,0.188,0.034,0.014,0.023,0.017,0.024,0.022,0.065,0.055,0.033,0.028,0.104,0.017,0.012,0.037,0.073,0.212,0.002,0,0.003,0.495,0.048,0.033,0.033
